StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,D1,D2,D3,D3_4_TEXT,D4,1_Q2,1_Q3,1_Q4,1_Q5,1_Q7,1_Q8,1_Q12,1_Q13,2_Q2,2_Q3,2_Q4,2_Q5,2_Q7,2_Q8,2_Q12,2_Q13,3_Q2,3_Q3,3_Q4,3_Q5,3_Q7,3_Q8,3_Q12,3_Q13,4_Q2,4_Q3,4_Q4,4_Q5,4_Q7,4_Q8,4_Q12,4_Q13,SolutionRevision,ProjectCategory,ProjectType
2022-06-26 09:46:44,2022-06-26 09:59:25,IP Address,208.93.82.21,100,761,True,2022-06-26 09:59:26,R_9XLzYoLsuV6MZ5n,,,,,34.7509,-88.924,anonymous,EN,25-34 years old,Working part-time,Female,,Never been married,Extremely positive,Very different,Very appealing,Like a great deal,Somewhat relevant,I need it because nothing else solves this problem,Extremely likely,$40 - $50,Extremely positive,Different,Very appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$50+,Extremely positive,Different,Very appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$50+,Extremely positive,Very different,Very appealing,Like a great deal,Somewhat relevant,I need it because nothing else solves this problem,Extremely likely,$50+,2,PX,ConceptTesting
2022-06-26 09:47:07,2022-06-26 10:00:23,IP Address,35.150.92.128,100,796,True,2022-06-26 10:00:24,R_bCoYmXgKoiTYEiR,,,,,37.9546,-103.6644,anonymous,EN,18-24 years old,Student,Male,,Living with a partner,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$40 - $50,Extremely positive,Different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$50+,Extremely positive,Different,Very appealing,Like a great deal,Somewhat relevant,I need it because nothing else solves this problem,Extremely likely,$50+,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$40 - $50,2,PX,ConceptTesting
2022-06-26 09:46:54,2022-06-26 10:00:25,IP Address,184.180.187.138,100,810,True,2022-06-26 10:00:25,R_2vbKogxmDcjuJvL,,,,,33.4306,-111.9256,anonymous,EN,18-24 years old,Student,Male,,Never been married,Extremely positive,Different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$50+,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$30 - $40,Extremely positive,Different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$50+,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$50+,2,PX,ConceptTesting
2022-06-26 09:46:46,2022-06-26 10:00:27,IP Address,173.216.186.198,100,821,True,2022-06-26 10:00:28,R_12eWKBpIKopZZFJ,,,,,35.7767,-90.7694,anonymous,EN,18-24 years old,Working part-time,Male,,Never been married,Extremely positive,Different,Very appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$50+,Extremely positive,Very different,Very appealing,Like a great deal,Somewhat relevant,I need it because nothing else solves this problem,Extremely likely,$30 - $40,Extremely positive,Very different,Very appealing,Like a great deal,Somewhat relevant,I need it because nothing else solves this problem,Extremely likely,$20 - $30,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$30 - $40,2,PX,ConceptTesting
2022-06-26 09:47:47,2022-06-26 10:00:27,IP Address,167.88.88.143,100,760,True,2022-06-26 10:00:28,R_32Q1PxvRyQzwAsD,,,,,35.3106,-79.3472,anonymous,EN,18-24 years old,Student,Male,,Never been married,Extremely positive,Different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$40 - $50,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$50+,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$50+,Extremely positive,Very different,Very appealing,Like a great deal,Somewhat relevant,I need it because nothing else solves this problem,Extremely likely,$40 - $50,2,PX,ConceptTesting
2022-06-26 09:46:55,2022-06-26 10:00:35,IP Address,162.239.13.201,100,819,True,2022-06-26 10:00:35,R_2EmISnomNnXdhXP,,,,,38.9093,-90.16,anonymous,EN,18-24 years old,Working part-time,Male,,Never been married,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$50+,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$50+,Extremely positive,Different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$40 - $50,Extremely positive,Very different,Very appealing,Like a great deal,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Extremely likely,$30 - $40,2,PX,ConceptTesting
2022-06-26 10:22:33,2022-06-26 10:37:19,IP Address,73.57.145.131,100,885,True,2022-06-26 10:37:19,R_2wjJ8xuxtTPbmyJ,,,,,25.7738,-80.3584,anonymous,EN,25-34 years old,Working full-time,Male,,Married,Neither positive nor negative,Different,Not very appealing,Neither like nor dislike,Neither relevant nor irrelevant,This is essentially the same as what I am currently using,Neither likely nor unlikely,$10 - $15,Neither positive nor negative,Different,Not very appealing,Neither like nor dislike,Neither relevant nor irrelevant,What I am currently using is better than this,Neither likely nor unlikely,$15 - $20,Extremely positive,Different,Very appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$20 - $30,Somewhat positive,Different,A little appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$20 - $30,2,PX,ConceptTesting
2022-06-26 10:22:32,2022-06-26 10:37:20,IP Address,107.77.207.165,100,887,True,2022-06-26 10:37:20,R_bpYF8NHLzcyVCIF,,,,,41.8764,-87.6133,anonymous,EN,25-34 years old,Working full-time,Male,,Married,Neither positive nor negative,Different,Not very appealing,Neither like nor dislike,Neither relevant nor irrelevant,This is essentially the same as what I am currently using,Neither likely nor unlikely,$10 - $15,Somewhat positive,Different,A little appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$20 - $30,Neither positive nor negative,Different,Not very appealing,Neither like nor dislike,Neither relevant nor irrelevant,What I am currently using is better than this,Neither likely nor unlikely,$15 - $20,Extremely positive,Different,Very appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$20 - $30,2,PX,ConceptTesting
2022-06-26 10:22:37,2022-06-26 10:37:20,IP Address,99.6.218.251,100,883,True,2022-06-26 10:37:21,R_ZyGNw0JrIsIunT3,,,,,43.238,-87.9894,anonymous,EN,18-24 years old,Working full-time,Male,,Married,Somewhat positive,Different,A little appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$20 - $30,Neither positive nor negative,Different,Not very appealing,Neither like nor dislike,Neither relevant nor irrelevant,This is essentially the same as what I am currently using,Neither likely nor unlikely,$10 - $15,Neither positive nor negative,Different,Not very appealing,Neither like nor dislike,Neither relevant nor irrelevant,What I am currently using is better than this,Neither likely nor unlikely,$15 - $20,Extremely positive,Different,Very appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$20 - $30,2,PX,ConceptTesting
2022-06-26 10:22:40,2022-06-26 10:37:20,IP Address,76.187.24.149,100,880,True,2022-06-26 10:37:21,R_1jcZeR7aaIByvTg,,,,,32.8489,-96.9667,anonymous,EN,25-34 years old,Working full-time,Male,,Married,Neither positive nor negative,Different,Not very appealing,Neither like nor dislike,Neither relevant nor irrelevant,This is essentially the same as what I am currently using,Neither likely nor unlikely,$10 - $15,Neither positive nor negative,Different,Not very appealing,Neither like nor dislike,Neither relevant nor irrelevant,What I am currently using is better than this,Neither likely nor unlikely,$15 - $20,Extremely positive,Different,Very appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$20 - $30,Somewhat positive,Different,A little appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$20 - $30,2,PX,ConceptTesting
2022-06-26 10:22:42,2022-06-26 10:37:21,IP Address,50.212.38.34,100,878,True,2022-06-26 10:37:21,R_R4du9LyVrulpX6p,,,,,42.3153,-71.1611,anonymous,EN,18-24 years old,Working full-time,Female,,Married,Neither positive nor negative,Different,Not very appealing,Neither like nor dislike,Neither relevant nor irrelevant,This is essentially the same as what I am currently using,Neither likely nor unlikely,$10 - $15,Neither positive nor negative,Different,Not very appealing,Neither like nor dislike,Neither relevant nor irrelevant,What I am currently using is better than this,Neither likely nor unlikely,$15 - $20,Somewhat positive,Different,A little appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$20 - $30,Extremely positive,Different,Very appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$20 - $30,2,PX,ConceptTesting
2022-06-26 10:22:47,2022-06-26 10:37:22,IP Address,141.157.213.23,100,875,True,2022-06-26 10:37:23,R_3qDJhNWcjHaVS3P,,,,,40.8312,-73.9067,anonymous,EN,25-34 years old,Working full-time,Male,,Married,Neither positive nor negative,Different,Not very appealing,Neither like nor dislike,Neither relevant nor irrelevant,This is essentially the same as what I am currently using,Neither likely nor unlikely,$10 - $15,Somewhat positive,Different,A little appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$20 - $30,Neither positive nor negative,Different,Not very appealing,Neither like nor dislike,Neither relevant nor irrelevant,What I am currently using is better than this,Neither likely nor unlikely,$15 - $20,Extremely positive,Different,Very appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$20 - $30,2,PX,ConceptTesting
2022-06-26 10:21:57,2022-06-26 10:37:23,IP Address,69.201.72.83,100,925,True,2022-06-26 10:37:24,R_3CVjBrHNqdXwdfU,,,,,43.0842,-75.2287,anonymous,EN,25-34 years old,Working full-time,Female,,Married,Extremely positive,Different,Very appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$20 - $30,Neither positive nor negative,Different,Not very appealing,Neither like nor dislike,Neither relevant nor irrelevant,This is essentially the same as what I am currently using,Neither likely nor unlikely,$10 - $15,Neither positive nor negative,Different,Not very appealing,Neither like nor dislike,Neither relevant nor irrelevant,What I am currently using is better than this,Neither likely nor unlikely,$15 - $20,Somewhat positive,Different,A little appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$20 - $30,2,PX,ConceptTesting
2022-06-26 10:22:38,2022-06-26 10:37:26,IP Address,104.2.250.140,100,888,True,2022-06-26 10:37:27,R_YXiK0IUKzDsdGDL,,,,,25.7381,-80.312,anonymous,EN,25-34 years old,Working full-time,Female,,Married,Extremely positive,Different,Very appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$20 - $30,Neither positive nor negative,Different,Not very appealing,Neither like nor dislike,Neither relevant nor irrelevant,This is essentially the same as what I am currently using,Neither likely nor unlikely,$10 - $15,Somewhat positive,Different,A little appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$20 - $30,Neither positive nor negative,Different,Not very appealing,Neither like nor dislike,Neither relevant nor irrelevant,What I am currently using is better than this,Neither likely nor unlikely,$15 - $20,2,PX,ConceptTesting
2022-06-26 10:22:44,2022-06-26 10:37:29,IP Address,73.113.210.77,100,884,True,2022-06-26 10:37:29,R_2XaEiY2sRlGdnXB,,,,,33.4724,-82.0889,anonymous,EN,18-24 years old,Working full-time,Male,,Married,Neither positive nor negative,Different,Not very appealing,Neither like nor dislike,Neither relevant nor irrelevant,What I am currently using is better than this,Neither likely nor unlikely,$15 - $20,Neither positive nor negative,Different,Not very appealing,Neither like nor dislike,Neither relevant nor irrelevant,This is essentially the same as what I am currently using,Neither likely nor unlikely,$10 - $15,Somewhat positive,Different,A little appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$20 - $30,Extremely positive,Different,Very appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$20 - $30,2,PX,ConceptTesting
2022-06-26 10:22:49,2022-06-26 10:39:48,IP Address,71.121.169.63,100,1018,True,2022-06-26 10:39:48,R_1nN6vYBDUHPxyIi,,,,,39.2151,-76.754,anonymous,EN,25-34 years old,Working full-time,Male,,Married,Neither positive nor negative,Different,Not very appealing,Neither like nor dislike,Neither relevant nor irrelevant,What I am currently using is better than this,Neither likely nor unlikely,$15 - $20,Extremely positive,Different,Very appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$20 - $30,Neither positive nor negative,Different,Not very appealing,Neither like nor dislike,Neither relevant nor irrelevant,This is essentially the same as what I am currently using,Neither likely nor unlikely,$10 - $15,Somewhat positive,Different,A little appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$20 - $30,2,PX,ConceptTesting
2022-06-26 19:29:16,2022-06-26 19:33:51,IP Address,24.90.45.154,100,274,True,2022-06-26 19:33:51,R_2ZWCejib7d27L0c,,,,,40.8171,-73.9392,anonymous,EN,35-44 years old,A homemaker or stay-at-home parent,Female,,Married,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,This would be slightly better than what I am currently using,Somewhat likely,$15 - $20,Somewhat positive,Very different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Somewhat likely,$15 - $20,Somewhat positive,Different,A little appealing,Like somewhat,Somewhat relevant,I need it because nothing else solves this problem,Somewhat likely,$15 - $20,Somewhat positive,A little different,A little appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Somewhat likely,$20 - $30,2,PX,ConceptTesting
2022-06-26 19:31:09,2022-06-26 19:35:04,IP Address,76.178.183.51,100,235,True,2022-06-26 19:35:05,R_3313gJbamHiPYDS,,,,,46.7314,-117.1733,anonymous,EN,25-34 years old,Working full-time,Male,,Married,Somewhat positive,Not very different,Very appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,Somewhat positive,Different,Very appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$5 - $10,Somewhat positive,Not very different,Not very appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$5 - $10,Somewhat negative,Different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$5 - $10,2,PX,ConceptTesting
2022-06-26 19:31:07,2022-06-26 19:35:07,IP Address,38.48.23.113,100,239,True,2022-06-26 19:35:07,R_XoLBaEyQSmzKRxL,,,,,42.7584,-114.7206,anonymous,EN,25-34 years old,Working full-time,Male,,Married,Somewhat positive,A little different,Not very appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,Somewhat positive,Different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,Somewhat positive,A little different,Very appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,Somewhat positive,Different,A little appealing,Like somewhat,Extremely relevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,2,PX,ConceptTesting
2022-06-26 19:31:12,2022-06-26 19:35:48,IP Address,94.140.8.117,100,275,True,2022-06-26 19:35:48,R_29i7LdQLq5pBcEb,,,,,47.6034,-122.3414,anonymous,EN,25-34 years old,Working full-time,Male,,Married,Somewhat positive,Different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$5 - $10,Somewhat negative,Different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$5 - $10,Somewhat positive,Different,Very appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,Somewhat positive,Different,Very appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$5 - $10,2,PX,ConceptTesting
2022-06-26 19:31:03,2022-06-26 19:36:08,IP Address,24.119.236.185,100,305,True,2022-06-26 19:36:09,R_2EsC8xzHucMi5bm,,,,,43.6502,-116.4343,anonymous,EN,25-34 years old,Working full-time,Male,,Married,Somewhat positive,Different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$5 - $10,Somewhat positive,A little different,A little appealing,Dislike somewhat,Somewhat irrelevant,This is essentially the same as what I am currently using,Neither likely nor unlikely,$15 - $20,Somewhat positive,A little different,A little appealing,Like somewhat,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Neither likely nor unlikely,$15 - $20,Somewhat positive,A little different,A little appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,2,PX,ConceptTesting
2022-06-26 19:31:05,2022-06-26 19:36:09,IP Address,24.18.125.165,100,303,True,2022-06-26 19:36:09,R_bsIJM5mrsw371ND,,,,,47.285,-122.5036,anonymous,EN,25-34 years old,Working full-time,Male,,Married,Somewhat positive,Different,Appealing,Like somewhat,Somewhat relevant,This is essentially the same as what I am currently using,Somewhat likely,$5 - $10,Neither positive nor negative,A little different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Neither likely nor unlikely,$5 - $10,Somewhat positive,A little different,A little appealing,Dislike somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Neither likely nor unlikely,$15 - $20,Somewhat positive,Different,A little appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$5 - $10,2,PX,ConceptTesting
2022-06-26 22:41:53,2022-06-26 22:45:28,IP Address,97.124.40.251,100,215,True,2022-06-26 22:45:29,R_10AE8bSUca2mYw5,,,,,33.5038,-112.0253,anonymous,EN,25-34 years old,A homemaker or stay-at-home parent,Female,,Married,Somewhat positive,Different,A little appealing,Neither like nor dislike,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Neither likely nor unlikely,$30 - $40,Somewhat positive,A little different,A little appealing,Neither like nor dislike,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$30 - $40,Extremely positive,Different,A little appealing,Neither like nor dislike,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$20 - $30,Somewhat positive,A little different,A little appealing,Neither like nor dislike,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$30 - $40,2,PX,ConceptTesting
2022-06-26 23:05:07,2022-06-26 23:15:14,IP Address,68.84.162.80,100,607,True,2022-06-26 23:15:15,R_3rNdKiLq8QKjtaQ,,,,,42.8704,-85.6682,anonymous,EN,18-24 years old,Working full-time,Male,,Married,Somewhat negative,A little different,Appealing,Neither like nor dislike,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,,$20 - $30,Somewhat positive,A little different,Appealing,Dislike somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,Extremely positive,Not very different,Appealing,Neither like nor dislike,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$5 - $10,Extremely positive,Different,A little appealing,Like somewhat,Extremely relevant,This is essentially the same as what I am currently using,Neither likely nor unlikely,$15 - $20,2,PX,ConceptTesting
2022-06-27 00:03:44,2022-06-27 00:07:59,IP Address,108.30.242.29,100,255,True,2022-06-27 00:07:59,R_3j3at0nC6dV4iEp,,,,,40.6186,-73.9272,anonymous,EN,25-34 years old,Working full-time,Male,,Married,Neither positive nor negative,Not very different,Not at all appealing,Dislike somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Neither likely nor unlikely,$40 - $50,Somewhat positive,A little different,Very appealing,Like a great deal,Somewhat relevant,This is essentially the same as what I am currently using,Neither likely nor unlikely,$20 - $30,Somewhat positive,Very different,Very appealing,Neither like nor dislike,Neither relevant nor irrelevant,I need it because nothing else solves this problem,Somewhat likely,$15 - $20,Somewhat positive,Different,Very appealing,Like somewhat,Somewhat relevant,I need it because nothing else solves this problem,Somewhat likely,$10 - $15,2,PX,ConceptTesting
2022-06-27 00:38:37,2022-06-27 00:45:54,IP Address,68.203.74.11,100,437,True,2022-06-27 00:45:55,R_SIAbqFS0aH0puvL,,,,,33.0391,-97.0764,anonymous,EN,25-34 years old,Working full-time,Female,,Married,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$15 - $20,Somewhat positive,Different,Appealing,Like somewhat,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Extremely likely,$5 - $10,Extremely positive,Different,Appealing,Like somewhat,Extremely relevant,This would be slightly better than what I am currently using,Extremely likely,$10 - $15,Extremely positive,Different,Appealing,Like somewhat,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Extremely likely,$5 - $10,2,PX,ConceptTesting
